year,month,area_of_origin,estimated_dollar_loss,civilian_casualties,extent_of_fire,ignition_source,fire_alarm_system,smoke_alarm_at_fire_origin,sprinkler_system,status_of_fire_on_arrival,fire_alarm_system_impact_on_evacuation
2022,Summer,"21 - Living Area (e.g. living, TV, recreation, etc)",1500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Summer,"13 - Stairway, Escalator",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2022,Summer,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",10000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Summer,27 - Laundry Area,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Summer,24 - Cooking Area or Kitchen,500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Summer,"75 - Trash, rubbish area (outside)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2022,Autumn,64 - Porch or Balcony,100,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,NA
2022,Autumn,79 - Other Outside Area,4000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2022,Autumn,42 - Garage,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Autumn,"11 - Lobby, Entranceway",200,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Autumn,64 - Porch or Balcony,5000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,System Presents,System Presents,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Autumn,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Autumn,61 - Exterior Wall,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,42 - Garage,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,9 - Smoke alarm presence undetermined,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",50,1,NA,NA,No System,No System,No System,1 - Fire extinguished prior to arrival,NA
2022,Winter,"31 - Process Manufacturing (inc manf, prod assembly, repair)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,62 - Roof,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,"21 - Living Area (e.g. living, TV, recreation, etc)",500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Summer,24 - Cooking Area or Kitchen,2000,2,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Summer,64 - Porch or Balcony,2500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,64 - Porch or Balcony,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Summer,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",25000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Autumn,79 - Other Outside Area,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2022,Autumn,24 - Cooking Area or Kitchen,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Autumn,61 - Exterior Wall,20000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Autumn,64 - Porch or Balcony,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Autumn,64 - Porch or Balcony,2500,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,System Presents and Operated,Presents and Operated,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Autumn,97 - Other - unclassified,10000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2022,Winter,53 - Chimney/Flue Pipe,25000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,"13 - Stairway, Escalator",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,24 - Cooking Area or Kitchen,40,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,NA
2022,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",2000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,"12 - Hallway, Corridor",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,No System,No System,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Winter,97 - Other - unclassified,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,1 - Fire extinguished prior to arrival,NA
2022,Spring,64 - Porch or Balcony,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Spring,"73 - Parking Area, Parking Lot",100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2022,Spring,"13 - Stairway, Escalator",2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Spring,24 - Cooking Area or Kitchen,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Spring,"13 - Stairway, Escalator",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,NA
2022,Summer,64 - Porch or Balcony,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Summer,"21 - Living Area (e.g. living, TV, recreation, etc)",10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Summer,24 - Cooking Area or Kitchen,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,System Presents,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,19 - Other Means of Egress,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2022,Summer,"21 - Living Area (e.g. living, TV, recreation, etc)",20000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,System Presents,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Autumn,42 - Garage,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2022,Autumn,24 - Cooking Area or Kitchen,35000,0,"7 - Spread to other floors, confined to building","7 - Spread to other floors, confined to building",No System,System Presents,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Autumn,42 - Garage,15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Autumn,24 - Cooking Area or Kitchen,7000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,4 - Fire Alarm system operated but failed to alert occupant(s)
2022,Autumn,42 - Garage,10000,0,3 - Spread to entire room of origin,3 - Spread to entire room of origin,System Presents and Operated,Presents and Operated,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Autumn,24 - Cooking Area or Kitchen,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Autumn,24 - Cooking Area or Kitchen,8000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Autumn,"13 - Stairway, Escalator",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Winter,24 - Cooking Area or Kitchen,30000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Winter,24 - Cooking Area or Kitchen,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,64 - Porch or Balcony,2500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,27 - Laundry Area,30000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Winter,64 - Porch or Balcony,6000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,"25 - Washroom or Bathroom (toilet,restroom/locker room)",4000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,"34 - Operating Room, Treatment or Examination Area",25000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,"21 - Living Area (e.g. living, TV, recreation, etc)",2500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,System Presents,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Winter,24 - Cooking Area or Kitchen,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",50,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Spring,24 - Cooking Area or Kitchen,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Spring,24 - Cooking Area or Kitchen,0,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,NA
2022,Spring,24 - Cooking Area or Kitchen,25000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Spring,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",200,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,NA
2022,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Spring,29 - Electronic Equipment,8000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,9 - Smoke alarm presence undetermined,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2022,Spring,24 - Cooking Area or Kitchen,5000,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Spring,24 - Cooking Area or Kitchen,49000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,System Presents,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Spring,"25 - Washroom or Bathroom (toilet,restroom/locker room)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Spring,"73 - Parking Area, Parking Lot",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2022,Spring,79 - Other Outside Area,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Spring,24 - Cooking Area or Kitchen,1500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2022,Spring,42 - Garage,1,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Spring,42 - Garage,1,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Spring,"45 - Supply Storage Room (inc maintenance/office/document storage, et",15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Spring,"21 - Living Area (e.g. living, TV, recreation, etc)",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,NA
2022,Spring,97 - Other - unclassified,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",10000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Spring,24 - Cooking Area or Kitchen,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Spring,24 - Cooking Area or Kitchen,100,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Spring,79 - Other Outside Area,50,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Spring,"21 - Living Area (e.g. living, TV, recreation, etc)",20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Spring,64 - Porch or Balcony,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Spring,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,9 - Smoke alarm presence undetermined,System Presents,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Spring,49 - Other Storage Area,500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Summer,"32 - Assembly Area (inc school room,spectator area, church, etc)",500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,No System,No System,2 - Fire with no evidence from street,NA
2022,Summer,42 - Garage,100,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,"21 - Living Area (e.g. living, TV, recreation, etc)",5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,64 - Porch or Balcony,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,2 - Fire with no evidence from street,NA
2022,Summer,79 - Other Outside Area,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,2 - Fire with no evidence from street,NA
2022,Summer,24 - Cooking Area or Kitchen,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,No System,No System,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Summer,62 - Roof,30000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Summer,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",5000,2,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,9 - Smoke alarm presence undetermined,No System,1 - Fire extinguished prior to arrival,NA
2022,Summer,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,9 - Smoke alarm presence undetermined,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Summer,"21 - Living Area (e.g. living, TV, recreation, etc)",10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Summer,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,61 - Exterior Wall,500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,"75 - Trash, rubbish area (outside)",10000,0,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2022,Autumn,24 - Cooking Area or Kitchen,15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Autumn,24 - Cooking Area or Kitchen,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Autumn,24 - Cooking Area or Kitchen,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Autumn,"11 - Lobby, Entranceway",2000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,NA
2022,Autumn,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",50,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,9 - Smoke alarm presence undetermined,No System,2 - Fire with no evidence from street,NA
2022,Autumn,"73 - Parking Area, Parking Lot",0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,62 - Roof,10000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,System Presents,9 - Smoke alarm presence undetermined,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2022,Summer,"31 - Process Manufacturing (inc manf, prod assembly, repair)",0,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Summer,24 - Cooking Area or Kitchen,50,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Summer,"75 - Trash, rubbish area (outside)",5000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,System Presents,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2022,Summer,78 - Attached Deck,700,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Summer,79 - Other Outside Area,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,9 - Smoke alarm presence undetermined,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,"25 - Washroom or Bathroom (toilet,restroom/locker room)",5000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,24 - Cooking Area or Kitchen,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Autumn,64 - Porch or Balcony,400,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
